Episode,Throughput,Workload,Safety
1,5.80247650395658,0.775530930100544,1
2,6.03761519970919,0.74532739354054,1
3,5.65704571201329,0.795468205329119,1
4,6.01716972628341,0.747859908345895,1
5,6.05143052494086,0.743625822266872,1
6,5.88854892665168,0.76419505994642,0.933333333333333
7,6.34455974873136,0.709269071175476,1
8,6.19398472363134,0.726511317154458,1
9,5.68639825476071,0.791362088688135,1
10,5.65008149079783,0.796448689692185,0.933333333333333
11,5.82275070477058,0.772830613598681,1
12,6.39351129229687,0.703838594204371,1
13,6.17594038460104,0.728633976328562,1
14,6.21896094742027,0.723593545295806,1
15,5.66125495911812,0.794876760099316,1
16,6.19712286196969,0.726143421750673,1
17,5.51015369687339,0.8166741342539,1
18,5.56573273679849,0.808518880227167,1
19,6.28016822910134,0.716541314792761,1
20,6.04429599280223,0.744503579136225,1
21,6.02947654715808,0.746333444504568,1
22,5.62368670913228,0.800186822763877,1
23,6.09372305374244,0.738464803915947,1
24,6.10220708767933,0.737438099910724,1
25,5.96970093675289,0.753806605670215,1
26,5.88692535559018,0.764405819368311,1
27,5.72098875214774,0.786577319927544,1
28,6.25694981615841,0.719200270454283,1
29,6.04201334082784,0.744784850041963,1
30,5.83284364086223,0.77149333619627,1
31,5.73365366243715,0.784839870862941,1
32,6.24543143865674,0.720526683256306,1
33,6.2217600820528,0.723268004656855,1
34,5.47199541280494,0.82236911044728,1
35,5.57462829884386,0.807228708133468,1
36,5.59271705178488,0.80461785538817,1
37,6.12509493552189,0.734682490209692,1
38,5.90271545241677,0.762360990678883,1
39,6.11230948476036,0.736219265601605,1
40,6.45494121323036,0.697140353621902,1
41,6.13464881643989,0.733538322184101,1
42,5.75577744276517,0.781823141139057,1
43,5.93506352811436,0.758205869016149,1
44,6.28422971937998,0.716078214983519,1
45,5.89487970228492,0.763374356605742,1
46,5.74459246919357,0.783345385095996,0.933333333333333
47,5.9132235249406,0.761006239831802,1
48,6.8037330020927,0.661401615644806,1
49,6.13823700275345,0.733109522812725,1
50,6.28715838996509,0.715744652971116,1
51,5.9274871606163,0.759174989006998,1
52,6.00461974379266,0.74942297630952,1
53,6.24367857915642,0.720728964976284,1
54,5.6370765883805,0.798286120375885,1
55,6.07661591699142,0.740543760124301,1
56,6.08656616141795,0.739333128180712,1
57,6.32140362893678,0.711867215597633,1
58,6.02856777970436,0.746445949425932,1
59,6.0922495133966,0.738643417362452,1
60,6.01084871029517,0.748646358756719,1
61,6.51300069734185,0.690925766649555,1
62,6.02397894311226,0.747014563380113,1
63,6.189540937762,0.727032916535988,1
64,6.18137710814446,0.727993118891079,0.933333333333333
65,6.18465912986177,0.727606793763681,1
66,5.92712537454673,0.759221328322945,1
67,5.75698838151273,0.781658690583906,1
